代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
4557,永新-KY,5.41,5.41,5.26,7.14,5.86,5.68,5.51,3.24,,
6577,勁豐,5.4,5.4,4,4.35,5.13,6.69,9.21,,,
6664,群翊,5.4,5.4,5.09,3.52,5.26,4.64,,,,
1730,花仙子,5.37,5.37,3.13,3.04,2.73,2.13,3.72,1.68,1.8,1.71
6223,旺矽,5.36,5.36,1.83,7.09,3.71,6.62,3.54,3.42,8.13,9.66
3217,優群,5.34,5.34,2.93,2.31,1.11,1.53,1.14,1.02,1.06,2.1
1777,生泰,5.31,5.31,1.99,5.27,5.2,4.93,3.1,1.89,2.3,3.38
9946,三發地產,5.28,5.28,1.51,1.53,3.02,0.21,6.71,2.18,2.49,1.18
6552,易華電,5.24,5.24,0.04,1.51,3.22,1.55,2.52,,,
6706,惠特,5.19,5.19,11.42,9.55,,,,,,
2723,美食-KY,5.18,5.18,13.12,11.75,8.07,3.74,4.07,6.95,8.34,7.18
6579,研揚,5.17,5.17,5.6,5.32,3.34,4.13,,,,
6206,飛捷,5.15,5.15,5.06,6.02,7.02,7.25,7.38,6.02,5.91,7.04
6525,捷敏-KY,5.15,5.15,5.88,5.53,5.82,5.15,,,,
4549,桓達,5.11,5.11,4.84,4.35,3.5,5.68,5.12,5.34,4.19,
6238,勝麗,5.11,5.11,8.75,9.41,9.52,1.1,4.54,0.73,-1.46,0.5
6690,安碁資訊,5.11,5.11,-0.05,0.49,,,,,,
9938,百和,5.11,5.11,5.44,5,3.83,3.29,2.37,1.53,1.99,4.02
3388,崇越電,5.1,5.1,5.65,4.68,4.68,5.14,5.42,5.39,6.58,8
6180,橘子,5.1,5.1,0.17,-2.45,2.46,0.59,0.47,-2.08,1.21,1.52
1339,昭輝,5.08,5.08,3.72,4.13,4.6,4.57,3.33,2.63,2.84,1.64
2233,宇隆,5.07,5.07,8.05,6.94,5.07,6.3,6.94,4.98,5.47,6.09
2640,大車隊,5.07,5.07,4.56,3.1,4.2,6.09,5.39,4.23,3.82,4.88
4571,鈞興-KY,5.05,5.05,,,,,,,,
2354,鴻準,5.04,5.04,7.05,7.59,8.76,6.84,5.39,6.79,6.84,6.85
5225,東科-KY,5.04,5.04,2.05,2.22,4.23,4.36,5.41,5.6,0.97,
2597,潤弘,5.03,5.03,2.55,4.5,5.14,8.38,8.26,2.17,1.56,2.16
1259,安心,5.02,5.02,5.23,5.37,4.05,2.86,2.45,3.01,7.1,7.91
3026,禾伸堂,5.02,5.02,4.4,2.26,2.67,4.05,2.44,2,2.38,2.77
6263,普萊德,5.01,5.01,4.9,4.38,4.26,4,3.2,2.62,1.51,1.72
6582,申豐,5.01,5.01,3.46,6.3,8.13,4,,,,
