"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1132",="3236","千如","16.25","2013","15.7","+6.46","2.16","-13.1","0.02","+278","13.8","-3.1","0.3","+0.09","0.03","+0.02","0.58","+0.16","0.33","+0.09","43"
"1133",="4930","燦星網","9.61","2013","139","-5.48","17.1","-13.8","-0.8","+79.7","12.2","-1.18","0.45","+2.61","-0.3","+1.5","0.88","+5.44","0.49","+2.93","47"
"1134",="6020","大展證","12.2","2013","4.45","+218","4.35","+239","3.13","+217","97.7","+6.14","70.3","-0.1","1.35","+0.93","9.01","+5.99","7.08","+4.81","73"
"1135",="8401","白紗科","11.9","2013","13.4","-14.5","3.35","-14.6","-0.57","-188","25","-0.02","-4.23","-8.36","-1.17","-2.63","-8.62","-18.4","-3.95","-8.21","40"
"1136",="8427","基勝-KY","48.5","2013","58","-12.2","11.4","-22.9","2.31","-46.8","19.7","-2.72","3.99","-2.59","2.14","-1.88","5.24","-4.73","3.41","-2.67","43"
"1137",="1909","榮成","12.2","2013","243","+10","42.1","+31.6","8.48","+79.3","17.3","+2.84","3.82","+1.49","1.2","+0.51","6.66","+2.76","2.22","+0.96","36"
"1138",="2033","佳大","9.21","2013","8.22","-22.6","0.64","-46","-0.19","-149","7.77","-3.38","-2.36","-6.1","-0.24","-0.73","-2.03","-6.03","-1.52","-4.55","30"
"1139",="2547","日勝生","9.86","2013","304","+1723","126","+897","101","+836","41.3","-34.2","33.4","+116","12.01","+13.8","80.1","+91.2","15.2","+17.3","68"
"1140",="2897","王道銀行","7.03","2013","59.6","+23.5","","","11.3","+2216","","","36.5","+16.6","0.47","+0.45","5.1","+2.86","0.59","+0.3","44"
"1141",="2901","欣欣","22.55","2013","1.51","-3.1","1.3","-1.76","0.36","-0.96","86.1","+1.17","24.1","+0.52","0.5","-0.01","4.29","-0.06","3.68","-0.04","72"
"1142",="1709","和益","13.15","2013","113","-5.49","10.8","-13.7","2.97","-26.8","9.55","-0.91","2.68","-0.82","0.69","-0.25","4.79","-2.02","3.14","-1.41","38"
"1143",="3380","明泰","26.65","2013","241","-3.23","37.1","-4.23","7.8","+5.08","15.4","-0.16","3.23","+0.26","1.6","+0.14","8.09","+0.33","4.48","+0.45","36"
"1144",="3520","振維","13","2013","7.92","-15.4","0.35","-4.49","-1.3","+17.3","4.36","+0.5","-16.4","+0.4","-2.54","+0.53","-27.8","-1.54","-13.7","+1.53","21"
"1145",="4561","健椿","25.8","-","","","","","","","","","","","","","","","","",""
"1146",="5438","東友","12","2013","30.9","-9","5.86","-18.1","0.7","+1.56","19","-2.11","1.46","-0.47","0.62","+0.01","2.63","-1.61","1.72","-0.88","43"
"1147",="1325","恆大","178","2013","10.9","+2.99","1.3","-15.9","0.72","-3.58","11.9","-2.67","6.58","-0.32","0.72","-0.02","3.79","-0.16","3.42","-0.13","53"
"1148",="2062","橋椿","18.7","2013","59.3","+10.7","15.6","+45.2","9.05","+176","26.3","+6.24","15.3","+9.14","5.55","+3.54","20","+12.3","13.2","+7.75","64"
"1149",="4716","大立","14","2013","13.6","-3.6","2.26","-12.6","0.45","-36","16.6","-1.71","3.31","-1.68","0.66","-0.44","5.47","-3.34","3.73","-2.08","45"
"1150",="6222","上揚","12.65","2013","3.46","-11.2","0.45","-24.8","-0.89","-455","12.9","-2.35","-27.4","-33.8","-1.59","-2.04","-21.2","-26.5","-15.1","-18.1","34"
"1151",="5498","凱崴","11.25","2013","13.7","+10.5","1.11","+147","0.11","+242","8.08","+4.46","0.79","+0.53","0.07","+0.05","0.65","+0.45","0.38","+0.26","38"
"1152",="6158","禾昌","22.2","2013","34.3","-10.2","4.31","-53.3","-3.93","-391","12.6","-11.6","-11.5","-15","-3.43","-4.61","-13","-17.1","-8.55","-11.2","36"
"1153",="6185","幃翔","16.2","2013","18.8","-11.1","7.74","+22.1","3.43","+55.4","41.2","+11.2","18.2","+7.8","3.34","+1.11","17.9","+5.39","13.7","+4.12","70"
"1154",="2596","綠意","19.2","2013","6.3","+5.51","2.97","+14.6","2.3","+26.5","47","+3.74","36.6","+6.06","3.05","+0.51","19.3","+1.12","12.1","+1.06","66"
"1155",="1474","弘裕","9.31","2013","36","+5.86","2.27","+14.6","0.71","+190","6.3","+0.48","1.98","+4.31","0.54","+1.13","4.13","+8.6","2.11","+4.54","38"
"1156",="1516","川飛","13.65","2013","1.42","-30.4","0.11","+24","0.04","+105","7.87","+3.45","3.16","+44.6","0.19","+4.81","3.26","+87","2.71","+75.8","45"
"1157",="2841","台開","6.47","2013","25.4","+564","14.6","+150","25","+1362","57.5","-95.3","98.6","+53.9","4.06","+3.79","28.7","+26.2","12.2","+11.2","72"
"1158",="6015","宏遠證","6.07","2013","10.7","+37","9.76","+43.1","2.69","-85.6","91.5","+3.91","25.2","-214","0.61","-3.47","5.09","-34.5","2.12","-13.2","55"
"1159",="6154","順發","12.2","2013","57.4","-8.14","8.46","-1.87","1.39","+4.64","14.7","+0.94","2.42","+0.3","1.74","+0.08","10.9","+0.45","7.19","+0.6","51"
"1160",="2031","新光鋼","23.95","2013","86.2","+13.7","4.79","+387","3.31","+254","5.56","+7.76","3.86","+6.71","1.2","+1.98","6.19","+10.1","2.69","+4.48","30"
"1161",="2482","連宇","11.15","2013","7.1","-13.7","2.68","-12.6","-0.11","-354","37.7","+0.49","-1.6","-2.1","-0.18","-0.25","-1.37","-1.87","-1.08","-1.47","47"
"1162",="3043","科風","1.49","2013","18.2","-20.9","-0.1","-107","-4.85","+56.6","-0.53","-6.62","-28.7","+19.8","-2.68","+3.05","-80.1","-4.66","-20.5","+4.6","21"
"1163",="4207","環泰","10.65","2013","37.2","+0.79","5.2","-10.8","2.2","+8.32","14","-1.82","7.73","+0.6","1.47","-0.08","12.3","-0.51","7.05","+0.37","51"
"1164",="6533","晶心科","116","-","","","","","","","","","","","","","","","","",""
"1165",="2010","春源","9.3","2013","198","-15.2","12.6","+8.46","4.68","+19.2","6.36","+1.39","2.33","+0.71","0.72","+0.12","4.14","+0.69","2.54","+0.61","36"
"1166",="2630","亞航","16.55","2013","18.1","-7.29","2.22","-31","0.33","-66.7","12.3","-4.21","1.84","-3.3","0.31","-0.64","2.55","-5.12","1.68","-3.09","47"
"1167",="2032","新鋼","8.27","2013","34.8","-16.6","1.38","+20.8","0.42","+230","3.95","+1.22","1.2","+0.9","0.32","+0.22","2.55","+1.77","1.95","+1.39","47"
"1168",="2722","夏都","23.4","2013","6.63","+6.55","3.69","+3.34","1.42","+0.27","55.6","-1.73","21.4","-1.34","1.67","-0.11","10.6","-0.31","9.38","-0.32","70"
"1169",="4939","亞電","13.75","2013","17.9","+3.39","3.97","-8.86","0.94","+89.2","22.2","-2.98","5.23","+2.37","1.08","+0.49","7.68","+3.34","3.61","+1.52","40"
"1170",="3652","精聯","14.8","2013","19.6","+0.09","6.05","-1.66","0.22","+167","30.8","-0.55","1.15","+0.75","0.47","+0.29","2.03","+1.34","1.29","+0.84","43"
"1171",="4121","優盛","21.4","2013","28.5","+22.6","7.45","+11.7","0.13","-51.1","26.1","-2.53","0.39","-0.77","0.17","-0.19","0.9","-1.54","0.58","-1.01","49"
"1172",="5245","智晶","33.7","2013","8.72","+31.5","1.36","+283","0.24","+161","15.6","+10.2","2.75","+8.65","0.67","+1.77","5.43","+14.5","3.71","+9.86","43"
"1173",="2312","金寶","11.8","2013","427","+9.91","27.7","+10.5","-43.2","-3420","6.49","+0.03","-10.1","-10.5","-3.27","-3.37","-27.6","-28.4","-10.3","-10.6","26"
"1174",="5213","亞昕","14.75","2013","61","+283","21.5","+223","15.2","+446","35.3","-6.56","25.1","+9.87","4.23","+3.24","26.3","+21.6","8.09","+6.67","57"
"1175",="5905","南仁湖","9.22","2013","15.7","+16.5","10.7","-5.86","0.92","+170","67.8","-16.1","7.81","+15.5","0.44","+1.06","3.97","+7.35","2.32","+4.21","53"
"1176",="9907","統一實","8.63","2013","332","+18.7","38.3","+62.2","12.6","+384","11.5","+3.1","3.95","+3.05","0.8","+0.64","6.65","+5.36","3.07","+2.41","40"
"1177",="1442","名軒","17.45","2013","40","+212","17.2","+238","13","+318","43.2","+3.27","32.6","+8.28","6.3","+4.79","32.8","+23.9","11.5","+8.28","68"
"1178",="3047","訊舟","8.12","2013","58.6","-9.27","15.9","-6.2","1.42","-25","27.2","+0.89","2.32","-1.56","0.75","-0.37","5.51","-6.37","2.98","-2.44","45"
"1179",="5533","皇鼎","15.35","2013","32.2","-14.6","11.1","-5.57","7.52","-3.8","34.5","+3.31","23.3","+2.62","3.09","-0.35","13.7","-2.54","7.84","-0.66","57"
"1180",="8110","華東","9.47","2013","88.7","+6.96","6.64","-20","3.22","+237","7.48","-2.52","3.63","+6.47","0.65","+1.12","4.86","+8.4","1.99","+3.42","43"
"1181",="2344","華邦電","12.75","2013","331","+0.52","69.1","+33.8","2.07","+111","20.8","+5.19","0.87","+5.8","0.06","+0.56","0.82","+5.43","0.51","+3.29","49"
"1182",="3512","皇龍","28.9","2013","5.59","-14.8","-0.03","-102","-1.14","-1002","-0.46","-18.9","-20.4","-22.4","-2.6","-2.88","-22.1","-24.3","-11.8","-13.1","30"
"1183",="4130","健亞","28.4","2013","3.97","+14","1.72","+15.7","0.46","-24.7","43.2","+0.65","11.5","-5.92","0.47","-0.16","4.48","-1.51","3.9","-1.43","64"
"1184",="4543","萬在","15.15","2013","13.4","","3.18","","1.23","","23.7","","9.2","","2.5","","10.8","","6.57","","50"
"1185",="4576","大銀微系統","70.3","-","","","","","","","","","","","","","","","","",""
"1186",="6172","互億","22.6","2013","2.73","+34.8","0.42","+1811","0.24","+121","15.4","+14.4","8.63","+63.2","0.51","+2.87","16.4","+111","5.41","+28.3","40"
"1187",="9902","台火","8.68","2013","1.66","+19.4","0.07","-31.2","1.54","+3310","4.02","-2.96","93.2","+91.6","1.58","+1.53","14.3","+14.1","12.7","+12.5","53"
"1188",="1468","昶和","9.91","2013","7.66","-4.96","1.11","+233","-0.48","+80.8","14.4","+24.7","-6.41","+27.1","-0.3","+1.25","-3.72","+14.3","-1.99","+8.09","28"
"1189",="3059","華晶科","22.65","2013","192","-22","11.6","-34.4","-3.32","-219","6.05","-1.14","-1.72","-2.86","-0.88","-1.63","-3.3","-5.97","-2.06","-3.64","36"
"1190",="8906","花王","14.7","2013","1.71","-13.1","0.05","-71.4","-0.19","-1598","3.22","-6.57","-11.4","-12.1","-0.4","-0.45","-4.88","-5.2","-4.05","-4.31","38"
"1191",="1727","中華化","9.03","2013","20.8","-5.2","3.29","+0.62","1.09","-3.52","15.8","+0.91","5.19","+0.1","1.09","-0.12","8.39","-0.79","5.54","-0.03","40"
"1192",="2906","高林","13.8","2013","62.5","-11.8","13.9","-12.1","1.01","+7.4","22.2","-0.09","1.25","+0.12","0.46","+0.04","2.34","0","1.71","+0.1","49"
"1193",="3232","昱捷","20.3","2013","10.1","-49.2","1.27","+40.5","0.28","+5143","12.6","+8.03","2.82","+2.79","0.9","+0.88","8.67","+8.5","4.03","+3.97","47"
"1194",="8935","邦泰","8.55","2013","8.84","-4.08","0.53","+136","-0.83","+80.5","5.99","+21.9","-9.53","+36.8","-0.69","+1.41","-7.25","+23","-4.2","+14.9","34"
"1195",="4162","智擎","57","2013","0.37","-79.7","0.17","-90","-1.18","-341","45.9","-47.4","-315","-342","-1.26","-1.84","-5.41","-8.4","-5.37","-8.33","49"
