代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
5483,中美晶,3.02,4.9,1.97,4.49,3.85,1.81,0,2.44,10.7,1.08
1220,台榮,4.36,3.67,6.25,4.59,2.79,3.35,4.01,0,0,0
2006,東和鋼鐵,5.22,7.37,5.04,5.2,7.65,6.49,4.96,5.39,4.51,3.1
5287,數字,5.2,6.47,6.28,5.96,4.67,2.74,2.55,,,
1817,凱撒衛,6.45,6.22,4.89,5.35,4.42,4.85,3.43,4.36,,
3484,崧騰,4.26,7.58,4.82,5.3,7.8,3.21,2.5,6.79,7.13,4.15
3402,漢科,9.63,8.52,8.39,3.71,3.6,0,7.74,6.58,10.8,0.68
4549,桓達,4.55,5.21,3.16,3.1,5.09,2.62,,,,
2889,國票金,4,6.82,5.75,3.21,3.77,2.75,1.8,3.01,3.96,1.55
8083,瑞穎,6.07,6.56,6.07,5.05,5.68,3.95,4.42,4.98,6.22,4.6
4931,新盛力,3.07,1.08,4.17,,,0,0,0,0,1.32
3226,至寶電,5.17,3.73,3.32,3.07,0,0,0,0,0,0
1215,卜蜂,4.53,5.64,4.67,4.46,4.35,3.17,5.06,1.97,7.04,5.03
1402,遠東新,6.03,4.3,2.99,4.13,4.66,4.14,3.78,5.14,5.69,2.63
2886,兆豐金,5.56,5.78,5.9,6.52,6.59,4.54,4.38,3.76,4.46,4.45
4439,冠星-KY,0,,,,,,,,,
2328,廣宇,4.72,4.03,2.76,1.42,2.2,1.52,1.32,0,1.28,0.65
