"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"114",="2392","正崴","05/22","36.05","-0.45","-1.23","2018","23.7","2.6","2","0","2","8.44","0","8.44","76.9","0","76.9","18'08/24"
"115",="6664","群翊","05/22","60.6","-0.5","-0.82","2018","69.5","5.09","4","0","4","5.76","0","5.76","78.6","0","78.6","18'08/03"
"116",="6115","鎰勝","05/22","43.35","-0.1","-0.23","2018","40.3","2.44","3","0","3","7.44","0","7.44","123","0","123","18'08/09"
"117",="2904","匯僑","05/22","23.9","0","0","2018","19.65","1.39","1.2","0","1.2","6.11","0","6.11","86.3","0","86.3","18'08/03"
"118",="3032","偉訓","05/22","29","0","0","2018","25.8","2.15","2","0","2","7.75","0","7.75","93","0","93","18'08/15"
"119",="3310","佳穎","05/22","29","-0.2","-0.68","2018","46.9","0.91","1.5","0","1.5","3.2","0","3.2","165","0","165","18'07/31"
"120",="4564","元翎","05/22","31.95","-0.75","-2.29","2018","37","1.51","1.2","0","1.2","3.24","0","3.24","79.5","0","79.5","18'08/24"
"121",="3015","全漢","05/22","21.8","-0.4","-1.8","2018","18","1.64","1.5","0","1.5","8.33","0","8.33","91.5","0","91.5","18'08/08"
"122",="4137","麗豐-KY","05/22","189","-5","-2.58","2018","257","7.41","8.04","0","8.04","3.13","0","3.13","109","0","109","18'08/30"
"123",="2012","春雨","05/22","17.45","-0.25","-1.41","2018","20","0.88","0.75","0","0.75","3.75","0","3.75","85.2","0","85.2","18'08/03"
"124",="6488","環球晶","05/22","365","-10","-2.67","2018","280.5","12.68","10","0","10","3.57","0","3.57","78.9","0","78.9","18'08/09"
"125",="2357","華碩","05/22","204.5","-2","-0.97","2018","201.5","20.93","15","0","15","7.44","0","7.44","71.7","0","71.7","18'07/31"
"126",="2301","光寶科","05/22","46.75","-0.6","-1.27","2018","40.6","1.13","2.92","0","2.92","7.19","0","7.19","258","0","258","18'09/12"
"127",="3567","逸昌","05/22","24.85","0","0","2018","26","2.76","2.3","0","2.3","8.85","0","8.85","83.3","0","83.3","18'08/28"
"128",="1102","亞泥","05/22","43.9","-0.1","-0.23","2018","33.95","1.74","1.2","0","1.2","3.53","0","3.53","69","0","69","18'09/28"
"129",="6577","勁豐","05/22","73.2","+0.6","+0.83","2018","58.8","4","4","0","4","6.8","0","6.8","100","0","100","18'07/26"
"130",="2373","震旦行","05/22","87.9","-0.2","-0.23","2018","96.4","6.67","6","0","6","6.22","0","6.22","90","0","90","18'07/26"
"131",="9943","好樂迪","05/22","64.5","+0.3","+0.47","2018","57.9","4.75","4","0","4","6.91","0","6.91","84.2","0","84.2","18'07/24"
