代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
1220,台榮,0.46,0.4,0.65,0.5,0.3,0.35,0.4,0,0,0
2006,東和鋼鐵,1.2,1.4,1.3,1.1,1.3,1.6,1.3,1.6,1.2,1.02
5287,數字,12.5,15.5,15,12,12.5,9.8,9.7,7,8.26,
1817,凱撒衛,2.3,2.3,2.2,2,1.8,1.6,1.2,1,,
3484,崧騰,1.3,1.9,2,2.1,2.59,1.41,0.7,1.1,1.3,1.5
3402,漢科,3,2.45,2,0.85,0.48,0,0.89,0.83,1.4,0.16
4549,桓達,4,4,3,2.8,3.8,3,3.5,,,
2889,國票金,0.45,0.65,0.55,0.26,0.29,0.23,0.18,0.3,0.4,0.2
8083,瑞穎,8.8,8.5,8.5,7.8,7.5,5,4,3,2.3,1.6
4931,新盛力,1,0.2,0.5,0,0,0,0,0,0,0.5
3226,至寶電,3,2,2,2,0,0,0,0,0,0
1215,卜蜂,3,3,3,2,1,0.8,0.8,0.3,1,1
1402,遠東新,1.8,1.2,0.8,1,1.2,1.3,1.3,1.7,2,1.3
2886,兆豐金,1.7,1.5,1.42,1.5,1.4,1.11,1.1,0.85,0.9,1
4439,冠星-KY,0,,,,,,,,,
2328,廣宇,1.1,0.8,0.7,0.35,0.29,0.3,0.3,0,0.3,0.3
1580,新麥,6.5,8,8.5,7,8.5,7.5,7,7,7,5.5
3031,佰鴻,0.52,0.85,0.8,0.07,0.5,0.35,0,1,1,0.9
8482,商億-KY,8,6.99,,,,,,,,
1582,信錦,6.5,5,5.45,4.5,4.5,3.5,3.94,3,3.48,4.5
4571,鈞興-KY,1.1,,,,,,,,,
3388,崇越電,5.1,4.6,4,4,5,5,5,6,6,4.2
9939,宏全,2.3,2.5,2.5,2,2.2,2.5,3,3,3,2.5
1788,杏昌,6,6,5,5,5,5,4,3.5,3.5,3.2
4552,力達-KY,2.3,5,8,2,,,,,,
4568,科際精密,4.48,4.43,3.78,,,,,,,
6182,合晶,2.5,0.38,0,0,0,0,0,0.02,1,0
2115,六暉-KY,1,1.5,1,2.2,2.1,0.5,1.05,,,
5291,邑昇,0.8,0,0,0.31,1.78,1.8,1.5,,,
3491,昇達科,3.4,3.85,4,4.3,4.08,2.55,2.38,1.23,2.19,2.49
2233,宇隆,4,3.76,5,3,4.75,5,2.5,4,2,
2356,英業達,1.5,1.65,1.45,1.4,1.75,1.6,0.8,0.3,1,1
3646,艾恩特,1,1,0.99,1,1,1.5,1,2,1,1
3130,一零四,8.51,9.6,10.81,8,7,6,4.56,6,6,4.55
3093,港建,1.3,0.55,1.82,2.4,1.7,2.45,2.16,2.5,6,3
3663,鑫科,0.4,0.5,0.6,0,0.5,0,0.9,1,1.3,0.43
6282,康舒,1,0.9,1.4,1.5,1.58,1.8,1.5,0.7,1.3,1.65
6508,惠光,1.5,1.35,1.3,1.3,1.8,1.4,1.3,1.3,1.3,0.9
2636,台驊投控,2.2,1.3,0.8,1.8,1.3,0.76,0.4,0.59,2.21,0.5
8039,台虹,2.5,2.5,2,2,3,2.5,1.5,1.8,2.35,1.21
8240,華宏,0.85,0,0,0.5,1.2,1,1.5,2.7,3.2,1.8
8070,長華,16.1,11,10,7,3.5,3.1,3,0.6,9.7,6
1268,漢來美食,6.97,6.58,5.68,4.5,,,,,,
8415,大國鋼,2.4,1,1,0.6,0.4,0.6,0,0.6,0,0
6170,統振,0,,0.12,0.43,0.29,0,0,0.63,0.13,0
